x_m,y_m,v_mps
1.1198,1.2491,8.044
1.0510,1.1764,7.905
0.9849,1.1012,7.764
0.9221,1.0233,7.622
0.8632,0.9423,7.477
0.8089,0.8582,7.329
0.7606,0.7706,7.180
0.7203,0.6789,7.028
0.6902,0.5835,6.873
0.6712,0.4852,6.715
0.6633,0.3854,6.554
0.6655,0.2853,6.389
0.6766,0.1859,6.221
0.7003,0.0886,6.049
0.7401,-0.0032,5.873
