# x_m, y_m, w_tr_right_m, w_tr_left_m
3.968589, 1.887444, 0.500000, 0.500000
3.982875, 1.810975, 0.550000, 0.550000
3.993808, 1.735896, 0.552268, 0.552268
3.993808, 1.659428, 0.570088, 0.570088
3.991055, 1.584100, 0.585235, 0.585235
3.983912, 1.510590, 0.626498, 0.626498
3.963834, 1.437690, 0.610328, 0.610328
3.933510, 1.368893, 0.672681, 0.672681
3.891415, 1.311865, 0.672681, 0.672681
3.842036, 1.262485, 0.672681, 0.672681
3.786505, 1.218895, 0.680074, 0.680074
3.721957, 1.185933, 0.651920, 0.651920
3.650030, 1.162922, 0.650000, 0.650000
3.573536, 1.148697, 0.632456, 0.632456
3.496966, 1.148449, 0.608276, 0.608276
3.420498, 1.148449, 0.602080, 0.602080
3.345505, 1.157477, 0.600000, 0.600000
3.269037, 1.171762, 0.602080, 0.602080
3.194928, 1.191743, 0.559017, 0.559017
3.122174, 1.214996, 0.570088, 0.570088
3.051623, 1.243567, 0.559017, 0.559017
2.980816, 1.271518, 0.583095, 0.583095
2.913352, 1.307544, 0.565685, 0.565685
2.848219, 1.346213, 0.565685, 0.565685
2.789742, 1.393833, 0.570088, 0.570088
2.738295, 1.446539, 0.583095, 0.583095
2.693100, 1.506020, 0.559017, 0.559017
2.654490, 1.570717, 0.538516, 0.538516
2.621488, 1.639433, 0.559017, 0.559017
2.588487, 1.708149, 0.570088, 0.570088
2.559916, 1.778699, 0.559017, 0.559017
2.531965, 1.849507, 0.585235, 0.585235
2.503393, 1.920058, 0.559017, 0.559017
2.475443, 1.990866, 0.602080, 0.602080
2.446871, 2.061417, 0.583095, 0.583095
2.418920, 2.132225, 0.583095, 0.583095
2.395090, 2.204739, 0.604152, 0.604152
2.373662, 2.278249, 0.618466, 0.618466
2.350762, 2.351149, 0.604152, 0.604152
2.329333, 2.424658, 0.618466, 0.618466
2.306433, 2.497558, 0.604152, 0.604152
2.278812, 2.568503, 0.618466, 0.618466
2.253182, 2.640272, 0.602080, 0.602080
2.231212, 2.713557, 0.608276, 0.608276
2.202641, 2.784108, 0.585235, 0.585235
2.179682, 2.856984, 0.600000, 0.600000
2.151111, 2.927535, 0.550000, 0.550000
2.127552, 3.000162, 0.550000, 0.550000
2.112316, 3.076236, 0.502494, 0.502494
2.097197, 3.152359, 0.522015, 0.522015
2.074297, 3.225259, 0.538516, 0.538516
2.052868, 3.298769, 0.509902, 0.509902
2.030027, 3.371693, 0.522015, 0.522015
2.008598, 3.445203, 0.514782, 0.514782
1.981306, 3.516283, 0.538516, 0.538516
1.945692, 3.583917, 0.538516, 0.538516
1.902589, 3.648448, 0.514782, 0.514782
1.858550, 3.710721, 0.500000, 0.500000
1.810163, 3.768880, 0.494975, 0.494975
1.752087, 3.817467, 0.500000, 0.500000
1.690014, 3.861589, 0.514782, 0.514782
1.622952, 3.898582, 0.538516, 0.538516
1.552443, 3.927254, 0.509902, 0.509902
1.481445, 3.954746, 0.538516, 0.538516
1.407935, 3.976174, 0.509902, 0.509902
1.332943, 3.990122, 0.552268, 0.552268
1.259434, 3.997265, 0.550000, 0.550000
1.183882, 3.999478, 0.550000, 0.550000
1.107414, 3.999478, 0.550000, 0.550000
1.033904, 3.992335, 0.552268, 0.552268
0.957436, 3.978049, 0.522015, 0.522015
0.880968, 3.963764, 0.538516, 0.538516
0.803884, 3.950965, 0.559017, 0.559017
0.727416, 3.936679, 0.570088, 0.570088
0.650948, 3.922394, 0.559017, 0.559017
0.577438, 3.900965, 0.570088, 0.570088
0.500970, 3.886679, 0.604152, 0.604152
